period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,consumption-for-eg,consumption-for-eg-units,consumption-for-eg-btu,consumption-for-eg-btu-units
2025-12,90,Pacific,1,Electric Utility,ALL,all fuels,0,thousand physical units,110.35586,million MMBtu
2025-12,90,Pacific,1,Electric Utility,AOR,all renewables,0,thousand physical units,2.91107,million MMBtu
2025-12,90,Pacific,1,Electric Utility,BIO,biomass,210.048,thousand physical units,.56897,million MMBtu
2025-12,90,Pacific,1,Electric Utility,COL,"coal, excluding waste coal",47.336,thousand short tons,.70874,million MMBtu
2025-12,90,Pacific,1,Electric Utility,COW,all coal products,47.336,thousand short tons,.70874,million MMBtu
2025-12,90,Pacific,1,Electric Utility,DFO,distillate fuel oil,415.592,thousand short tons,2.34659,million MMBtu
2025-12,90,Pacific,1,Electric Utility,FOS,fossil fuels,0,thousand physical units,37.22547,million MMBtu
2025-12,90,Pacific,1,Electric Utility,GEO,geothermal,0,thousand physical units,.19099,million MMBtu
2025-12,90,Pacific,1,Electric Utility,HPS,hydro-electric pumped storage,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,1,Electric Utility,HYC,conventional hydroelectric,0,thousand physical units,44.37395,million MMBtu
2025-12,90,Pacific,1,Electric Utility,LFG,landfill gas,130.573,thousand physical units,.06211,million MMBtu
2025-12,90,Pacific,1,Electric Utility,LIG,lignite coal,43.223,thousand short tons,.64705,million MMBtu
2025-12,90,Pacific,1,Electric Utility,MLG,municiapl landfill gas,0,thousand physical units,.06211,million MMBtu
2025-12,90,Pacific,1,Electric Utility,NG,natural gas,28490.231,thousand Mcf,29.92952,million MMBtu
2025-12,90,Pacific,1,Electric Utility,NGO,natural gas & other gases,28490.231,thousand Mcf,29.92952,million MMBtu
2025-12,90,Pacific,1,Electric Utility,NUC,nuclear,0,thousand physical units,25.67511,million MMBtu
2025-12,90,Pacific,1,Electric Utility,OB2,biomass,53.344,thousand physical units,.06264,million MMBtu
2025-12,90,Pacific,1,Electric Utility,OBW,biomass,53.344,thousand physical units,.06264,million MMBtu
2025-12,90,Pacific,1,Electric Utility,OOG,other gases,0,thousand Mcf,0,million MMBtu
2025-12,90,Pacific,1,Electric Utility,ORW,other renewables,0,thousand physical units,.06264,million MMBtu
2025-12,90,Pacific,1,Electric Utility,OTH,other,115.523,thousand physical units,.17027,million MMBtu
2025-12,90,Pacific,1,Electric Utility,PEL,petroleum liquids,1119.76169,thousand barrels,6.58721,million MMBtu
2025-12,90,Pacific,1,Electric Utility,PET,petroleum,1119.76169,thousand barrels,6.58721,million MMBtu
2025-12,90,Pacific,1,Electric Utility,REN,renewable,210.048,thousand physical units,47.28501,million MMBtu
2025-12,90,Pacific,1,Electric Utility,RFO,residual fuel oil,628.229,thousand short tons,3.91421,million MMBtu
2025-12,90,Pacific,1,Electric Utility,SPV,solar photovoltaic,0,thousand physical units,.08066,million MMBtu
2025-12,90,Pacific,1,Electric Utility,SUB,subbituminous coal,,thousand short tons,,million MMBtu
2025-12,90,Pacific,1,Electric Utility,SUN,solar,0,thousand physical units,.08066,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WAS,renewable waste products,0,thousand physical units,.12475,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WND,wind,0,thousand physical units,2.07044,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WNT,onshore wind turbine,0,thousand physical units,2.07044,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WOC,waste coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WOO,waste oil and other oils,75.94069,thousand barrels,.32642,million MMBtu
2025-12,90,Pacific,1,Electric Utility,WWW,wood and wood wastes,0,thousand physical units,.44423,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,ALL,all fuels,0,thousand physical units,49.84285,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,AOR,all renewables,0,thousand physical units,25.0469,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,BIO,biomass,2829.726,thousand physical units,3.51997,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,COL,"coal, excluding waste coal",61.914,thousand short tons,1.05316,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,COW,all coal products,61.914,thousand short tons,1.05316,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,DFO,distillate fuel oil,3.355,thousand short tons,.0199,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,FOS,fossil fuels,0,thousand physical units,24.09289,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,GEO,geothermal,0,thousand physical units,3.01916,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,HYC,conventional hydroelectric,0,thousand physical units,.56495,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,LFG,landfill gas,2384.915,thousand physical units,1.11455,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,MLG,municiapl landfill gas,0,thousand physical units,1.22754,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,MSB,biogenic municipal solid waste,14.727,thousand physical units,.11299,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,NG,natural gas,21903.22,thousand Mcf,22.96241,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,NGO,natural gas & other gases,21903.22,thousand Mcf,22.96241,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,OB2,biomass,289.818,thousand physical units,.35122,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,OBW,biomass,304.545,thousand physical units,.4642,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,ORW,other renewables,0,thousand physical units,.35122,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,OTH,other,1085.653,thousand physical units,.1381,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,PEL,petroleum liquids,15.11698,thousand barrels,.07732,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,PET,petroleum,15.11698,thousand barrels,.07732,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,RC,refined coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,REN,renewable,2829.726,thousand physical units,25.61185,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,SPV,solar photovoltaic,0,thousand physical units,8.93999,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,STH,solar thermal,0,thousand physical units,.80832,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,SUB,subbituminous coal,61.914,thousand short tons,1.05316,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,SUN,solar,0,thousand physical units,9.74831,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WAS,renewable waste products,0,thousand physical units,1.57875,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WND,wind,0,thousand physical units,8.75946,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WNT,onshore wind turbine,0,thousand physical units,8.75946,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WOC,waste coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WOO,waste oil and other oils,11.76198,thousand barrels,.05742,million MMBtu
2025-12,90,Pacific,2,IPP Non-CHP,WWW,wood and wood wastes,0,thousand physical units,1.94122,million MMBtu
2025-12,90,Pacific,3,IPP CHP,ALL,all fuels,0,thousand physical units,10.54784,million MMBtu
2025-12,90,Pacific,3,IPP CHP,AOR,all renewables,0,thousand physical units,.46944,million MMBtu
2025-12,90,Pacific,3,IPP CHP,BIO,biomass,156.492,thousand physical units,.46817,million MMBtu
2025-12,90,Pacific,3,IPP CHP,BIS,bituminous coal and synthetic coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,3,IPP CHP,BIT,bituminous coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,3,IPP CHP,COL,"coal, excluding waste coal",,thousand short tons,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,COW,all coal products,,thousand short tons,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,DFO,distillate fuel oil,.105,thousand short tons,.00061,million MMBtu
2025-12,90,Pacific,3,IPP CHP,FOS,fossil fuels,0,thousand physical units,10.0784,million MMBtu
2025-12,90,Pacific,3,IPP CHP,LFG,landfill gas,99.749,thousand physical units,.04389,million MMBtu
2025-12,90,Pacific,3,IPP CHP,MLG,municiapl landfill gas,0,thousand physical units,.04389,million MMBtu
2025-12,90,Pacific,3,IPP CHP,NG,natural gas,8538.885,thousand Mcf,8.93173,million MMBtu
2025-12,90,Pacific,3,IPP CHP,NGO,natural gas & other gases,8538.885,thousand Mcf,8.93173,million MMBtu
2025-12,90,Pacific,3,IPP CHP,OB2,biomass,,thousand physical units,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,OBW,biomass,,thousand physical units,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,ORW,other renewables,,thousand physical units,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,OTH,other,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,3,IPP CHP,PC,petroleum coke,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,3,IPP CHP,PEL,petroleum liquids,166.079,thousand barrels,1.03679,million MMBtu
2025-12,90,Pacific,3,IPP CHP,PET,petroleum,166.079,thousand barrels,1.03679,million MMBtu
2025-12,90,Pacific,3,IPP CHP,REN,renewable,156.492,thousand physical units,.46944,million MMBtu
2025-12,90,Pacific,3,IPP CHP,RFO,residual fuel oil,165.974,thousand short tons,1.03618,million MMBtu
2025-12,90,Pacific,3,IPP CHP,SPV,solar photovoltaic,0,thousand physical units,.00127,million MMBtu
2025-12,90,Pacific,3,IPP CHP,SUB,subbituminous coal,,thousand short tons,,million MMBtu
2025-12,90,Pacific,3,IPP CHP,SUN,solar,0,thousand physical units,.00127,million MMBtu
2025-12,90,Pacific,3,IPP CHP,WAS,renewable waste products,0,thousand physical units,.06303,million MMBtu
2025-12,90,Pacific,3,IPP CHP,WWW,wood and wood wastes,0,thousand physical units,.40514,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,ALL,all fuels,0,thousand physical units,1.06594,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,AOR,all renewables,0,thousand physical units,.65564,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,BIO,biomass,1021.928,thousand physical units,.62024,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,DFO,distillate fuel oil,.744,thousand short tons,.00435,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,FOS,fossil fuels,0,thousand physical units,.03689,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,HYC,conventional hydroelectric,0,thousand physical units,.09102,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,LFG,landfill gas,970.3,thousand physical units,.37611,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,MLG,municiapl landfill gas,0,thousand physical units,.60716,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,MSB,biogenic municipal solid waste,29.828,thousand physical units,.23105,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,NG,natural gas,29.995,thousand Mcf,.03255,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,NGO,natural gas & other gases,29.995,thousand Mcf,.03255,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,OB2,biomass,21.8,thousand physical units,.01308,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,OBW,biomass,51.628,thousand physical units,.24413,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,ORW,other renewables,0,thousand physical units,.01308,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,OTH,other,19.089,thousand physical units,.28238,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,PEL,petroleum liquids,.744,thousand barrels,.00435,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,PET,petroleum,.744,thousand barrels,.00435,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,REN,renewable,1021.928,thousand physical units,.74666,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,SPV,solar photovoltaic,0,thousand physical units,.03337,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,SUN,solar,0,thousand physical units,.03337,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,WAS,renewable waste products,0,thousand physical units,.62024,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,WND,wind,0,thousand physical units,.00204,million MMBtu
2025-12,90,Pacific,4,Commercial Non-CHP,WNT,onshore wind turbine,0,thousand physical units,.00204,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,ALL,all fuels,0,thousand physical units,1.08251,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,AOR,all renewables,0,thousand physical units,.29006,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,BIO,biomass,461.782,thousand physical units,.28813,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,COL,"coal, excluding waste coal",,thousand short tons,,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,COW,all coal products,,thousand short tons,,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,DFO,distillate fuel oil,1.048,thousand short tons,.00594,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,FOS,fossil fuels,0,thousand physical units,.79235,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,HYC,conventional hydroelectric,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,NG,natural gas,703.034,thousand Mcf,.72788,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,NGO,natural gas & other gases,703.034,thousand Mcf,.72788,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,OB2,biomass,461.782,thousand physical units,.28813,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,OBW,biomass,461.782,thousand physical units,.28813,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,ORW,other renewables,0,thousand physical units,.28813,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,OTH,other,.002,thousand physical units,.0001,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,PEL,petroleum liquids,1.048,thousand barrels,.00594,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,PET,petroleum,1.048,thousand barrels,.00594,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,REN,renewable,461.782,thousand physical units,.29006,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,SPV,solar photovoltaic,0,thousand physical units,.00193,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,SUB,subbituminous coal,,thousand short tons,,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,SUN,solar,0,thousand physical units,.00193,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,WAS,renewable waste products,0,thousand physical units,.28813,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,WOO,waste oil and other oils,0,thousand barrels,0,million MMBtu
2025-12,90,Pacific,5,Commercial CHP,WWW,wood and wood wastes,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,ALL,all fuels,0,thousand physical units,1.29459,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,AOR,all renewables,0,thousand physical units,.65839,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,BIO,biomass,53.797,thousand physical units,.57363,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,DFO,distillate fuel oil,4.612,thousand short tons,.02558,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,FOS,fossil fuels,0,thousand physical units,.61312,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,HYC,conventional hydroelectric,0,thousand physical units,.02308,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,LFG,landfill gas,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,MLG,municiapl landfill gas,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,NG,natural gas,514.5,thousand Mcf,.53504,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,NGO,natural gas & other gases,560.958,thousand Mcf,.58754,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,OB2,biomass,,thousand physical units,,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,OBW,biomass,,thousand physical units,,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,OOG,other gases,46.458,thousand Mcf,.0525,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,ORW,other renewables,,thousand physical units,,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,OTH,other,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,PEL,petroleum liquids,4.612,thousand barrels,.02558,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,PET,petroleum,4.612,thousand barrels,.02558,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,REN,renewable,53.797,thousand physical units,.68147,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,SPV,solar photovoltaic,0,thousand physical units,.06127,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,SUN,solar,0,thousand physical units,.06127,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,WAS,renewable waste products,,thousand physical units,,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,WND,wind,0,thousand physical units,.02349,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,WNT,onshore wind turbine,0,thousand physical units,.02349,million MMBtu
2025-12,90,Pacific,6,Industrial Non-CHP,WWW,wood and wood wastes,0,thousand physical units,.56175,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,ALL,all fuels,0,thousand physical units,6.61652,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,AOR,all renewables,0,thousand physical units,.94183,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,BIO,biomass,77.047,thousand physical units,.9414,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,BIS,bituminous coal and synthetic coal,3.994,thousand short tons,.09423,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,BIT,bituminous coal,3.994,thousand short tons,.09423,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,COL,"coal, excluding waste coal",4.342,thousand short tons,.10063,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,COW,all coal products,4.342,thousand short tons,.10063,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,DFO,distillate fuel oil,.595,thousand short tons,.00367,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,FOS,fossil fuels,0,thousand physical units,5.58805,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,NG,natural gas,4715.972,thousand Mcf,4.87877,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,NGO,natural gas & other gases,5183.971,thousand Mcf,5.41912,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,OB2,biomass,.461,thousand physical units,.00542,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,OBW,biomass,.461,thousand physical units,.00542,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,OOG,other gases,467.999,thousand Mcf,.54035,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,ORW,other renewables,0,thousand physical units,.00542,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,OTH,other,0,thousand physical units,.08664,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,PC,petroleum coke,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,PEL,petroleum liquids,14.276,thousand barrels,.06831,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,PET,petroleum,14.276,thousand barrels,.06831,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,RC,refined coal,0,thousand short tons,0,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,REN,renewable,77.047,thousand physical units,.94183,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,RFO,residual fuel oil,.203,thousand short tons,.00118,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,SPV,solar photovoltaic,0,thousand physical units,.00043,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,SUB,subbituminous coal,.348,thousand short tons,.0064,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,SUN,solar,0,thousand physical units,.00043,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,WAS,renewable waste products,0,thousand physical units,.00542,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,WOO,waste oil and other oils,13.478,thousand barrels,.06346,million MMBtu
2025-12,90,Pacific,7,Industrial CHP,WWW,wood and wood wastes,0,thousand physical units,.93599,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,ALL,all fuels,0,thousand physical units,160.19871,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,AOR,all renewables,0,thousand physical units,27.95797,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,BIO,biomass,3039.774,thousand physical units,4.08894,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,COL,"coal, excluding waste coal",109.25,thousand short tons,1.7619,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,COW,all coal products,109.25,thousand short tons,1.7619,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,DFO,distillate fuel oil,418.947,thousand short tons,2.36649,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,FOS,fossil fuels,0,thousand physical units,61.31836,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,GEO,geothermal,0,thousand physical units,3.21015,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,HPS,hydro-electric pumped storage,0,thousand physical units,0,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,HYC,conventional hydroelectric,0,thousand physical units,44.9389,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,LFG,landfill gas,2515.488,thousand physical units,1.17666,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,LIG,lignite coal,43.223,thousand short tons,.64705,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,MLG,municiapl landfill gas,0,thousand physical units,1.28964,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,MSB,biogenic municipal solid waste,14.727,thousand physical units,.11299,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,NG,natural gas,50393.451,thousand Mcf,52.89193,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,NGO,natural gas & other gases,50393.451,thousand Mcf,52.89193,million MMBtu
2025-12,90,Pacific,90,Electric Power Sector Non-CHP,NUC,nuclear,0,thousand physical units,25.67511,million MMBtu
